n_features,val_accuracy,val_precision,val_recall,val_f1,val_auroc,test_accuracy,test_precision,test_recall,test_f1,test_auroc,trial,ablation,bands,types
9,0.662992125984252,0.4500322441960447,0.3417315508545125,0.3884749914179416,0.6861144137347668,0.8203916787319973,0.23064280948026591,0.45241904207872796,0.305527819155031,0.730437216929857,4,Drop Theta,"delta,alpha,beta","slope,intercept,midband"
9,0.6701894788927075,0.3381956533947324,0.2418720003213045,0.28203627167460865,0.5893797988077588,0.6456869962215086,0.32834136741952374,0.34013166507696047,0.3341325396387955,0.5942512867918043,5,Drop Theta,"delta,alpha,beta","slope,intercept,midband"
9,0.7728310850678549,0.437783234513186,0.26392499518582707,0.32931618348238084,0.7411325936824787,0.48662393572243,0.27914116792863813,0.07850000583382921,0.12253948884204008,0.40795643381149305,6,Drop Theta,"delta,alpha,beta","slope,intercept,midband"
9,0.4023766379448492,0.26087650929534273,0.09960970850103672,0.14417102104222568,0.39539169142150954,0.73866035477201,0.336592941988553,0.3191785305187367,0.32765451109400157,0.6138594362123745,7,Drop Theta,"delta,alpha,beta","slope,intercept,midband"
9,0.6954207566230908,0.5336256757267607,0.22629410538803124,0.31781340057636887,0.6850658141836701,0.5264891853245353,0.7286330968555789,0.2635811772586452,0.38712196441692515,0.646887261107736,8,Drop Theta,"delta,alpha,beta","slope,intercept,midband"
9,0.7589356294161286,0.5331922477166406,0.5615381006006006,0.5469981945745823,0.7422186828559523,0.7259755168603217,0.20900725416442772,0.4672222222222222,0.2888156673473176,0.6564770102778433,9,Drop Theta,"delta,alpha,beta","slope,intercept,midband"
9,0.7694588073078249,0.19132258180640052,0.4105163557718302,0.2610035481455108,0.613661510482056,0.5903870410940716,0.045371435034212364,0.09328372669844592,0.06104953458290004,0.2777204953740764,10,Drop Theta,"delta,alpha,beta","slope,intercept,midband"
9,0.5900671065071731,0.14782284007352942,0.6965218568141832,0.2438857955218576,0.7084697712466067,0.6646198693178559,0.31404201624595823,0.7689691027926322,0.4459577620702874,0.7930347995894386,1,Drop Alpha,"delta,theta,beta","slope,intercept,midband"
9,0.6480151033272958,0.25624010810753967,0.4653374584622436,0.33049287058544274,0.6178392901653408,0.7503953444240622,0.5832678979891435,0.4229674192909487,0.49034915259101935,0.7814434953603631,2,Drop Alpha,"delta,theta,beta","slope,intercept,midband"
9,0.7148631650933603,0.17085022994494914,0.42752267573696145,0.2441365468347874,0.6273339883715585,0.7425548254970561,0.5144923076923077,0.45014268023474935,0.4801711512506102,0.6622386096190125,3,Drop Alpha,"delta,theta,beta","slope,intercept,midband"
9,0.6641144288782084,0.4513193612555088,0.33516151673930433,0.3846625795604097,0.6874600919569069,0.8203197100933899,0.2314217472668177,0.4556185766918751,0.306939908556499,0.733460526005286,4,Drop Alpha,"delta,theta,beta","slope,intercept,midband"
