trial,paradigm,strategy,model,ma_window,threshold,accuracy,precision,recall,specificity,f1,auroc,brier_score,ece
3,spectral_slope,downsample_2x,RandomForest,18,0.49,0.6073389080876601,0.504284914517032,0.5254042606651232,0.6611022787493376,0.5146280043771947,0.6575158391167398,0.2212837786215351,0.14710475587867097
3,spectral_slope,downsample_2x,XGBoost,20,0.49,0.6112568795597082,0.5091691371304142,0.5224788671727777,0.669510687157746,0.5157381449051991,0.6586144497704922,0.22013785541055556,0.14377027202028275
4,spectral_slope,downsample_2x,AdaptiveNN,20,0.44,0.5830990239803503,0.4352453576750185,0.8425441147954237,0.45337647857281366,0.5739809608731908,0.7729183227798946,0.21714665505524883,0.20403922783302017
4,spectral_slope,downsample_2x,LogisticRegression,20,0.47,0.555830263072846,0.4218668124757934,0.8976633701764591,0.38491370952103937,0.5739836642333503,0.7770477771910056,0.2299737685417803,0.20648926567284945
4,spectral_slope,downsample_2x,RandomForest,20,0.44,0.5008402818175942,0.39762978332867804,0.9661624975761102,0.26817917393833623,0.5633922261484099,0.7750515306316884,0.22056971217123048,0.1878708218752101
4,spectral_slope,downsample_2x,XGBoost,20,0.43,0.48101286277551547,0.3886767954730437,0.9722949389179756,0.23537182470428544,0.5553509622040703,0.7694039283640293,0.21966916102943085,0.18837797600301842
5,spectral_slope,downsample_2x,AdaptiveNN,20,0.44,0.5757009604472861,0.5488969506814394,0.785249396846771,0.37168141592920356,0.6461375099548713,0.6533630945617958,0.23506320231765687,0.039477030102244286
5,spectral_slope,downsample_2x,LogisticRegression,2,0.44,0.5343214592155886,0.515086348000826,0.9563859432568405,0.12339305874212463,0.66956251329809,0.6697220258787642,0.24079472514074943,0.03542580057824363
5,spectral_slope,downsample_2x,RandomForest,19,0.32,0.5697362229787705,0.535151066259297,0.9729282387925714,0.1771823445864744,0.6904989447696412,0.6377669271594654,0.2334089291444204,0.05121570438966087
5,spectral_slope,downsample_2x,XGBoost,19,0.3,0.5673005065183094,0.5336843616377674,0.9733957994351867,0.1719199533850468,0.689394140086892,0.6380883308720937,0.23300117391618444,0.0643293561286178
6,spectral_slope,downsample_2x,AdaptiveNN,20,0.44,0.4158820077062441,0.6963709305542747,0.3523982871877443,0.5866603892027621,0.46797697534068283,0.4510045449686094,0.2983615705633429,0.30491063734819984
6,spectral_slope,downsample_2x,LogisticRegression,20,0.45,0.38650301530191294,0.6766573004474972,0.30345246012577737,0.6099183929692404,0.41900066858381063,0.42737397755185,0.2794369728063676,0.2802684352135537
6,spectral_slope,downsample_2x,RandomForest,19,0.45,0.48346049486675685,0.6988425594243046,0.5121518662419638,0.4062774639045825,0.5911068018691337,0.4584931692671592,0.27328789721642144,0.26991801932008974
6,spectral_slope,downsample_2x,XGBoost,19,0.45,0.5296554305204692,0.7172204920140576,0.5857631231988052,0.37871939736346516,0.6448604733309784,0.4776678403100547,0.2709367461310164,0.26667062205874936
7,spectral_slope,downsample_2x,AdaptiveNN,1,0.36,0.435210353815005,0.41619331098407464,0.9362079310532919,0.08684644706150083,0.5762246683648846,0.6251759016476317,0.23352448642253876,0.07983643054065892
7,spectral_slope,downsample_2x,LogisticRegression,2,0.4,0.4339183641509223,0.4143313667649951,0.9193803523700431,0.09635698166164117,0.5712300679511294,0.6544310710121546,0.2270764005538706,0.0843848042277036
7,spectral_slope,downsample_2x,RandomForest,19,0.22,0.410338154524201,0.41022600134258225,1.0,0.0003223910033945876,0.5817876013518875,0.730751666741192,0.22206727414732086,0.13538877147990067
7,spectral_slope,downsample_2x,XGBoost,20,0.22,0.41032696846650335,0.4102214117094237,1.0,0.0003034268267243178,0.581782985711679,0.7278085668551151,0.22149584762376778,0.13238207907548802
8,spectral_slope,downsample_2x,AdaptiveNN,20,0.45,0.7027538866745915,0.7079263585915989,0.9752407267855647,0.07910773830056342,0.8203566032885261,0.5609044336030522,0.23664980456350976,0.17164281663354994
8,spectral_slope,downsample_2x,LogisticRegression,14,0.43,0.7130387152413584,0.70948321662876,0.9951477853135728,0.06736997432064697,0.8283794568334919,0.5716444074549645,0.24475685667586755,0.1952742902611232
8,spectral_slope,downsample_2x,RandomForest,19,0.3,0.6965946437312076,0.6966245563235569,0.999154316335929,0.004120194703154344,0.8209035311599238,0.5537855953704411,0.2494976947944121,0.19910622696252264
8,spectral_slope,downsample_2x,XGBoost,19,0.3,0.6966878773046173,0.6966896310135451,0.999154316335929,0.004426813843854203,0.8209487117746208,0.5645324534829954,0.2480257897404773,0.19789125497840457
9,spectral_slope,downsample_2x,AdaptiveNN,20,0.41,0.620965965965966,0.46391964405667907,0.8814264264264264,0.49073573573573576,0.6078897363011748,0.7988916131221311,0.20518947736048693,0.1688477869464963
9,spectral_slope,downsample_2x,LogisticRegression,20,0.5,0.6817517517517517,0.5139173639201344,0.8355555555555556,0.6048498498498498,0.6364062625084342,0.8111313889339792,0.23747515259454868,0.1967634391996611
9,spectral_slope,downsample_2x,RandomForest,20,0.36,0.36955455455455455,0.34584962788692747,0.9998948948948949,0.054384384384384386,0.5139359982095243,0.7872388700637574,0.2265175698224066,0.18824191017067582
9,spectral_slope,downsample_2x,XGBoost,19,0.34,0.3595095095095095,0.34228191369065974,0.9998948948948949,0.03931681681681682,0.5099863683009389,0.7833475646817989,0.22528999335533073,0.19106509225053908
10,spectral_slope,downsample_2x,AdaptiveNN,20,0.3,0.6649305555555556,0.6729713239780354,0.8976863155447041,0.2816389048439594,0.7692537610839892,0.4184067185079884,0.31751035897559265,0.28531143308297746
10,spectral_slope,downsample_2x,LogisticRegression,20,0.45,0.5949194637345679,0.6451966650002419,0.7752586908499012,0.2979449869168422,0.7042732033622321,0.42999797366956166,0.26460074530588323,0.1674431047362505
10,spectral_slope,downsample_2x,RandomForest,20,0.34,0.6917799961419753,0.6835294946789767,0.9396775568732318,0.28355351330652884,0.7913929710895872,0.5351793110628374,0.2603573464669748,0.21561469199959055
10,spectral_slope,downsample_2x,XGBoost,18,0.33,0.6985556520061729,0.6855962829117191,0.9521373483703446,0.28096879188206014,0.7971770431961063,0.5505032998954185,0.2594272045020226,0.21688538222352716
1,spectral_slope,weighted_sampler,AdaptiveNN,20,0.56,0.8995843828058593,0.822525750111957,0.5456625074272133,0.9749340619722586,0.656081443114842,0.8623354951619666,0.25233881641175315,0.3577477063781244
1,spectral_slope,weighted_sampler,LogisticRegression,20,0.61,0.9150070660137775,0.868773763249007,0.6075609031491385,0.9804621038183968,0.7150586980655426,0.8622689620993593,0.23706012752451786,0.39225389913403635
1,spectral_slope,weighted_sampler,RandomForest,20,0.6,0.9081809316708646,0.8414481100972071,0.5876262626262626,0.9764267597705293,0.6919961865778035,0.8876036568916321,0.25893196468327107,0.41423484558373574
1,spectral_slope,weighted_sampler,XGBoost,20,0.6,0.9088562444267142,0.8246920020867611,0.610531788472965,0.9723692782553146,0.7016336912545451,0.8859321277803403,0.2590734979021988,0.4133465140457688
2,spectral_slope,weighted_sampler,AdaptiveNN,20,0.46,0.7931663398486094,0.642403460234579,0.6122251931075461,0.8648970938962989,0.626951379513605,0.8437734373681357,0.17156246221741353,0.14864817367731312
2,spectral_slope,weighted_sampler,LogisticRegression,18,0.49,0.7682297706650923,0.5803734975017071,0.6628416518122401,0.8100089312879702,0.6188723294827417,0.8347285442601071,0.22788460970311647,0.23265907375624237
2,spectral_slope,weighted_sampler,RandomForest,18,0.5,0.6853339518277212,0.4599681866383881,0.6228337294513765,0.7101110031504873,0.5291525566329428,0.7634711242075304,0.21703229448785286,0.20078412020499242
2,spectral_slope,weighted_sampler,XGBoost,17,0.51,0.6953388013859897,0.46876156049507983,0.5489948504654387,0.7533541402899233,0.5057156703440805,0.7640179149943523,0.21626537416666677,0.20123243243737796
3,spectral_slope,weighted_sampler,AdaptiveNN,20,0.53,0.7982976363170919,0.7454484467882899,0.3589709075898706,0.9559987888392828,0.484588221755168,0.7191443659140846,0.1846817398596654,0.17968982647564172
3,spectral_slope,weighted_sampler,LogisticRegression,20,0.53,0.7935759592684245,0.7050817766848019,0.3756348821766363,0.9436004973489753,0.49014384656366544,0.6681683992333391,0.22952315678236718,0.2773362825349939
3,spectral_slope,weighted_sampler,RandomForest,20,0.57,0.8071507807833432,0.8599224583572659,0.32243040973456094,0.9811464795809899,0.46900575635352626,0.6657695276244954,0.21851801390174264,0.2515274273763705
